Title,Year,DOI,Authors,Age,Sex,QT_values,HR_values,BP_values,Medical_History,Naranjo_Score,Tisdale_Score,WHO_UMC,TdP_Present
"Antihistamine activity, central nervous system and cardiovascular profiles of histamine H1 antagonists: comparative studies with loratadine, terfenadine and sedating antihistamines in guinea-pigs.",1995,10.1111/j.1365-2222.1995.tb00400.x,"Hey JA, Del Prado M, Cuss FM, Egan RW, Sherwood J, Lin CC, Kreutner W",N/A,N/A,N/A,N/A,N/A,bradycardia,6,2,Possible,Yes
QTc Prolongation Associated With Psychiatric Medications: A Retrospective Cross-Sectional Study of Adult Inpatients.,2019,10.1097/JCP.0000000000000992,"Shao W, Ayub S, Drutel R, Heise WC, Gerkin R",N/A,N/A,500,N/A,N/A,diabetes,3,3,Possible,Yes
A novel HPLC-MS/MS method for the simultaneous determination of astemizole and its major metabolite in dog or monkey plasma and application to pharmacokinetics.,2015,10.1016/j.jpba.2015.04.036,"Back HM, Lee JH, Chae JW, Song B, Seo JW, Yun HY, Kwon KI",N/A,N/A,N/A,N/A,N/A,cancer,5,2,Possible,No
Diphenhydramine and QT prolongation - A rare cardiac side effect of a drug used in common practice.,2015,10.1016/j.jccase.2015.06.002,"Shah A, Yousuf T, Ziffra J, Zaidi A, Raghuvir R",N/A,N/A,N/A,N/A,N/A,renal disease; prolonged QT,3,4,Possible,No
QT interval prolongation and rhabdomyolysis associated with diphenhydramine toxicity: a case report.,2020,10.1080/20009666.2020.1749511,"Ali Z, Khan M, Ullah W, Kpehor AA, Cheema MA",N/A,N/A,N/A,N/A,N/A,N/A,4,2,Possible,No
Ventricular dysrhythmias associated with poisoning and drug overdose: a 10-year review of statewide poison control center data from California.,2015,10.1007/s40256-014-0104-1,"Al-Abri SA, Woodburn C, Olson KR, Kearney TE",N/A,N/A,N/A,N/A,N/A,tachycardia,3,8,Possible,Yes
Safety and effectiveness of physostigmine: a 10-year retrospective review<sup/>.,2018,10.1080/15563650.2017.1342828,"Arens AM, Shah K, Al-Abri S, Olson KR, Kearney T",N/A,N/A,N/A,N/A,N/A,seizure,5,8,Probable/Likely,No
A Randomized Controlled Trial of Intravenous Haloperidol vs. Intravenous Metoclopramide for Acute Migraine Therapy in the Emergency Department.,2015,10.1016/j.jemermed.2015.03.023,"Gaffigan ME, Bruner DI, Wason C, Pritchard A, Frumkin K",18,N/A,N/A,N/A,N/A,N/A,5,2,Possible,No
Long QT syndrome in a patient with allergic rhinoconjunctivitis and auto-immune diabetes: focus on the choice of anti-H1 drugs.,2006,N/A,"Moneret-Vautrin DA, de Chillou C, Codreanu A",N/A,N/A,N/A,N/A,N/A,rare disease; long QT syndrome; Long QT syndrome; diabetes,4,4,Possible,Yes
Compounds commonly used in equine medicine inhibits the voltage-gated potassium channel K(v)11.1.,2019,10.1016/j.rvsc.2019.01.009,"Calloe K, Rognant S, Friis S, Shaughnessy C, Klaerke DA, Trachsel D",N/A,N/A,N/A,N/A,N/A,repolarization disorder; long QT syndrome,3,2,Possible,Yes
QT PRODACT: in vivo QT assay in the conscious dog for assessing the potential for QT interval prolongation by human pharmaceuticals.,2005,10.1254/jphs.qt-a2,"Toyoshima S, Kanno A, Kitayama T, Sekiya K, Nakai K, Haruna M, Mino T, Miyazaki H, Yano K, Yamamoto K",N/A,Male,N/A,N/A,N/A,prolonged QT,6,2,Possible,Yes
Unprescribed and unnoticed: Retrospective chart review of adverse events of interactions between antidepressants and over-the-counter drugs.,2022,10.3389/fphar.2022.965432,"Woron J, Chrobak AA, Slezak D, Siwek M",N/A,N/A,N/A,N/A,N/A,myocardial infarction; bradycardia; anxiety,6,8,Possible,No
IV Lipid Emulsion Infusion in the Treatment of Severe Diphenhydramine Overdose.,2019,10.12659/AJCR.912523,"Cherukuri SV, Purvis AW, Tosto ST, Velayati A",24,Female,N/A,N/A,N/A,tachycardia; prolonged QT; seizure,5,3,Possible,No
"QTc Prolongation in Poison Center Exposures to CredibleMeds List of Substances with ""Known Risk of Torsades de Pointes"".",2022,10.1007/s12012-022-09764-4,"Ryan K, Benz P, Zosel A, Farkas A, Theobald J",N/A,N/A,"760, 500",N/A,N/A,tachycardia; prolonged QT,3,4,Possible,Yes
Electrocardiographic findings in patients with diphenhydramine overdose.,1997,10.1016/s0002-9149(97)00634-6,"Zareba W, Moss AJ, Rosero SZ, Hajj-Ali R, Konecki J, Andrews M",26,N/A,N/A,N/A,N/A,tachycardia,4,4,Possible,Yes
Comparative analysis of the cardiotoxicity proclivities of second generation antihistamines in an experimental model predictive of adverse clinical ECG effects.,1996,N/A,"Hey JA, del Prado M, Sherwood J, Kreutner W, Egan RW",N/A,Male,N/A,N/A,N/A,respiratory disease; bradycardia,3,2,Possible,Yes
Diphenhydramine-Refractory Antipsychotic-Induced Dystonia in an Adolescent Male With Cornelia de Lange Syndrome.,2019,10.5863/1551-6776-24.2.160,"Small SM, Bacher RS",16,Male,N/A,N/A,N/A,genetic disorder; prolonged QT; seizure,6,8,Possible,No
[Haloperidol poisoning in pediatric patients].,2017,N/A,Lopez-Valdes JC,N/A,Male,N/A,N/A,N/A,stroke,5,2,Possible,No
