DrugName,ActiveIngredient,
OXYCODONE HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
XARTEMIS XR,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,
TYLOX,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,
TALACEN,ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE,
ACETAMINOPHEN AND PENTAZOCINE HYDROCHLORIDE,ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE,
DARVOCET,ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,
PROPOXYPHENE HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,
WYGESIC,ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,
DOLENE AP-65,ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,
DARVOCET-N 50,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,
DARVOCET-N 100,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,
PROPACET 100,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,
PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,
DARVOCET A500,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,
ULTRACET,ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,
TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,
DIAMOX,ACETAZOLAMIDE,
ACETAZOLAMIDE,ACETAZOLAMIDE,
DIAMOX,ACETAZOLAMIDE SODIUM,
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,
VOSOL,"ACETIC ACID, GLACIAL",
ACETIC ACID 0.25% IN PLASTIC CONTAINER,"ACETIC ACID, GLACIAL",
ACETIC ACID,"ACETIC ACID, GLACIAL",
ORLEX,"ACETIC ACID, GLACIAL",
ACETASOL,"ACETIC ACID, GLACIAL",
ACETIC ACID 2% IN AQUEOUS ALUMINUM ACETATE,"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",
DOMEBORO,"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",
BOROFAIR,"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",
TRIDESILON,"ACETIC ACID, GLACIAL; DESONIDE",
VOSOL HC,"ACETIC ACID, GLACIAL; HYDROCORTISONE",
HYDROCORTISONE AND ACETIC ACID,"ACETIC ACID, GLACIAL; HYDROCORTISONE",
ACETIC ACID W/ HYDROCORTISONE,"ACETIC ACID, GLACIAL; HYDROCORTISONE",
ORLEX HC,"ACETIC ACID, GLACIAL; HYDROCORTISONE",
ACETASOL HC,"ACETIC ACID, GLACIAL; HYDROCORTISONE",
NEO-CORT-DOME,"ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE",
DYMELOR,ACETOHEXAMIDE,
ACETOHEXAMIDE,ACETOHEXAMIDE,
LITHOSTAT,ACETOHYDROXAMIC ACID,
TINDAL,ACETOPHENAZINE MALEATE,
SALPIX,ACETRIZOATE SODIUM,
MIOCHOL,ACETYLCHOLINE CHLORIDE,
MIOCHOL-E,ACETYLCHOLINE CHLORIDE,
MUCOMYST,ACETYLCYSTEINE,
ACETADOTE,ACETYLCYSTEINE,
MUCOSIL-10,ACETYLCYSTEINE,
MUCOSIL-20,ACETYLCYSTEINE,
ACETYLCYSTEINE,ACETYLCYSTEINE,
CETYLEV,ACETYLCYSTEINE,
LEGUBETI,ACETYLCYSTEINE LYSINE,
MUCOMYST W/ ISOPROTERENOL,ACETYLCYSTEINE; ISOPROTERENOL HYDROCHLORIDE,
ACYLANID,ACETYLDIGITOXIN,
SORIATANE,ACITRETIN,
ACITRETIN,ACITRETIN,
TUDORZA PRESSAIR,ACLIDINIUM BROMIDE,
DUAKLIR PRESSAIR,ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,
ATTRUBY,ACORAMIDIS HYDROCHLORIDE,
AKRINOL,ACRISORCIN,
SEMPREX-D,ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE,
ZOVIRAX,ACYCLOVIR,
ACYCLOVIR,ACYCLOVIR,
AVACLYR,ACYCLOVIR,
SITAVIG,ACYCLOVIR,
ZOVIRAX,ACYCLOVIR SODIUM,
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,
ACYCLOVIR IN SODIUM CHLORIDE 0.9% PRESERVATIVE FREE,ACYCLOVIR SODIUM,
ACYCLOVIR,ACYCLOVIR SODIUM,
XERESE,ACYCLOVIR; HYDROCORTISONE,
KRAZATI,ADAGRASIB,
HUMIRA,ADALIMUMAB,
IDACIO,ADALIMUMAB-AACF,
YUFLYMA,ADALIMUMAB-AATY,
HYRIMOZ,ADALIMUMAB-ADAZ,
CYLTEZO,ADALIMUMAB-ADBM,
ABRILADA,ADALIMUMAB-AFZB,
YUSIMRY,ADALIMUMAB-AQVH,
AMJEVITA,ADALIMUMAB-ATTO,
HADLIMA,ADALIMUMAB-BWWD,
HULIO,ADALIMUMAB-FKJP,
SIMLANDI,ADALIMUMAB-RYVK,
DIFFERIN,ADAPALENE,
ADAPALENE,ADAPALENE,
EPIDUO,ADAPALENE; BENZOYL PEROXIDE,
ADAPALENE AND BENZOYL PEROXIDE,ADAPALENE; BENZOYL PEROXIDE,
EPIDUO FORTE,ADAPALENE; BENZOYL PEROXIDE,
CABTREO,ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,
HEPSERA,ADEFOVIR DIPIVOXIL,
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,
ADENOCARD,ADENOSINE,
ADENOSCAN,ADENOSINE,
ADENOSINE,ADENOSINE,
KADCYLA,ADO-TRASTUZUMAB EMTANSINE,
ADUHELM,ADUCANUMAB-AVWA,
SCENESSE,AFAMELANOTIDE,
AFATINIB,AFATINIB,
GILOTRIF,AFATINIB DIMALEATE,
EYLEA,AFLIBERCEPT,
EYLEA HD,AFLIBERCEPT,
ENZEEVU,AFLIBERCEPT-ABZV,
PAVBLU,AFLIBERCEPT-AYYH,
YESAFILI,AFLIBERCEPT-JBVF,
AHZANTIVE,AFLIBERCEPT-MRBB,
OPUVIZ,AFLIBERCEPT-YSZY,
FABRAZYME,AGALSIDASE BETA,
EXEM FOAM KIT,AIR POLYMER-TYPE A,
TROVAN PRESERVATIVE FREE,ALATROFLOXACIN MESYLATE,
ALBENZA,ALBENDAZOLE,
ALBENDAZOLE,ALBENDAZOLE,
TANZEUM,ALBIGLUTIDE,
CHROMALBIN,ALBUMIN CHROMATED CR-51 SERUM,
OPTISON,ALBUMIN HUMAN,
JEANATOPE,ALBUMIN IODINATED I-125 SERUM,
MEGATOPE,ALBUMIN IODINATED I-131 SERUM,
PROVENTIL,ALBUTEROL,
VENTOLIN,ALBUTEROL,
ALBUTEROL,ALBUTEROL,
PROVENTIL,ALBUTEROL SULFATE,
VENTOLIN,ALBUTEROL SULFATE,
VENTOLIN ROTACAPS,ALBUTEROL SULFATE,
VOLMAX,ALBUTEROL SULFATE,
PROVENTIL-HFA,ALBUTEROL SULFATE,
ACCUNEB,ALBUTEROL SULFATE,
VENTOLIN HFA,ALBUTEROL SULFATE,
PROAIR HFA,ALBUTEROL SULFATE,
ALBUTEROL SULFATE,ALBUTEROL SULFATE,
VOSPIRE ER,ALBUTEROL SULFATE,
PROAIR RESPICLICK,ALBUTEROL SULFATE,
PROAIR DIGIHALER,ALBUTEROL SULFATE,
AIRSUPRA,ALBUTEROL SULFATE; BUDESONIDE,
COMBIVENT,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,
DUONEB,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,
COMBIVENT RESPIMAT,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,
ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,
ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,
LASTACAFT,ALCAFTADINE,
ALCAFTADINE,ALCAFTADINE,
ACLOVATE,ALCLOMETASONE DIPROPIONATE,
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,
ABLYSINOL,ALCOHOL,
AVAGARD,ALCOHOL; CHLORHEXIDINE GLUCONATE,
ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,
PROLEUKIN,ALDESLEUKIN,
ALECENSA,ALECTINIB HYDROCHLORIDE,
CAMPATH,ALEMTUZUMAB,
LEMTRADA,ALEMTUZUMAB,
FOSAMAX,ALENDRONATE SODIUM,
ALENDRONATE SODIUM,ALENDRONATE SODIUM,
BINOSTO,ALENDRONATE SODIUM,
FOSAMAX PLUS D,ALENDRONATE SODIUM; CHOLECALCIFEROL,
ALFENTA,ALFENTANIL HYDROCHLORIDE,
ALFENTANIL,ALFENTANIL HYDROCHLORIDE,
UROXATRAL,ALFUZOSIN HYDROCHLORIDE,
ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE,
MYOZYME,ALGLUCOSIDASE ALFA,
LUMIZYME,ALGLUCOSIDASE ALFA,
PRALUENT,ALIROCUMAB,
TEKTURNA,ALISKIREN HEMIFUMARATE,
ALISKIREN HEMIFUMARATE,ALISKIREN HEMIFUMARATE,
TEKAMLO,ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE,
AMTURNIDE,ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE,
TEKTURNA HCT,ALISKIREN HEMIFUMARATE; HYDROCHLOROTHIAZIDE,
VALTURNA,ALISKIREN HEMIFUMARATE; VALSARTAN,
PANRETIN,ALITRETINOIN,
VERILOID,ALKAVERVIR,
ZYLOPRIM,ALLOPURINOL,
ALLOPURINOL,ALLOPURINOL,
LOPURIN,ALLOPURINOL,
ALOPRIM,ALLOPURINOL SODIUM,
ALLOPURINOL SODIUM,ALLOPURINOL SODIUM,
DUZALLO,ALLOPURINOL; LESINURAD,
AXERT,ALMOTRIPTAN MALATE,
ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,
ALOGLIPTIN AND METFORMIN HYDROCHLORIDE,ALOGLIPTIN AND METFORMIN HYDROCHLORIDE,
NESINA,ALOGLIPTIN BENZOATE,
ALOGLIPTIN,ALOGLIPTIN BENZOATE,
KAZANO,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,
OSENI,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,
ALOGLIPTIN; METFORMIN HYDROCHLORIDE,ALOGLIPTIN; METFORMIN HYDROCHLORIDE,
LOTRONEX,ALOSETRON HYDROCHLORIDE,
ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE,
PIQRAY,ALPELISIB,
VIJOICE,ALPELISIB,
INFUVITE ADULT,ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,
XANAX,ALPRAZOLAM,
XANAX XR,ALPRAZOLAM,
NIRAVAM,ALPRAZOLAM,
ALPRAZOLAM,ALPRAZOLAM,
PROSTIN VR PEDIATRIC,ALPROSTADIL,
CAVERJECT,ALPROSTADIL,
EDEX,ALPROSTADIL,
MUSE,ALPROSTADIL,
CAVERJECT IMPULSE,ALPROSTADIL,
ALPROSTADIL,ALPROSTADIL,
RAUWILOID,ALSEROXYLON,
RAUTENSIN,ALSEROXYLON,
ACTIVASE,ALTEPLASE,
CATHFLO ACTIVASE,ALTEPLASE,
HEXALEN,ALTRETAMINE,
GAVISCON,ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE,
FOAMCOAT,ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE,
FOAMICON,ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE,
ALUMINUM HYDROXIDE AND MAGNESIUM TRISILICATE,ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE,
ENTEREG,ALVIMOPAN,
ALVIMOPAN,ALVIMOPAN,
AMANTADINE,AMANTADINE,
SYMMETREL,AMANTADINE HYDROCHLORIDE,
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,
SYMADINE,AMANTADINE HYDROCHLORIDE,
GOCOVRI,AMANTADINE HYDROCHLORIDE,
OSMOLEX ER,AMANTADINE HYDROCHLORIDE,
MYTELASE,AMBENONIUM CHLORIDE,
LETAIRIS,AMBRISENTAN,
AMBRISENTAN,AMBRISENTAN,
CYCLOCORT,AMCINONIDE,
AMCINONIDE,AMCINONIDE,
COACTIN,AMDINOCILLIN,
RUZURGI,AMIFAMPRIDINE,
FIRDAPSE,AMIFAMPRIDINE PHOSPHATE,
ETHYOL,AMIFOSTINE,
AMIFOSTINE,AMIFOSTINE,
AMIKIN,AMIKACIN SULFATE,
AMIKIN IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,AMIKACIN SULFATE,
AMIKACIN SULFATE,AMIKACIN SULFATE,
AMIKACIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,AMIKACIN SULFATE,
ARIKAYCE KIT,AMIKACIN SULFATE,
MIDAMOR,AMILORIDE HYDROCHLORIDE,
AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE,
MODURETIC 5-50,AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,
HYDRO-RIDE,AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,
AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,
FREAMINE 8.5%,AMINO ACIDS,
FREAMINE II 8.5%,AMINO ACIDS,
FREAMINE III 8.5%,AMINO ACIDS,
FREAMINE III 10%,AMINO ACIDS,
FREAMINE HBC 6.9%,AMINO ACIDS,
TRAVASOL 5.5% W/O ELECTROLYTES,AMINO ACIDS,
TRAVASOL 8.5% W/O ELECTROLYTES,AMINO ACIDS,
TRAVASOL 10% W/O ELECTROLYTES,AMINO ACIDS,
RENAMIN W/O ELECTROLYTES,AMINO ACIDS,
AMINOSYN 5%,AMINO ACIDS,
AMINOSYN 7%,AMINO ACIDS,
AMINOSYN 10%,AMINO ACIDS,
AMINOSYN 8.5%,AMINO ACIDS,
AMINOSYN 7% (PH6),AMINO ACIDS,
AMINOSYN 8.5% (PH6),AMINO ACIDS,
AMINOSYN 10% (PH6),AMINO ACIDS,
NEPHRAMINE 5.4%,AMINO ACIDS,
AMINOSYN 3.5%,AMINO ACIDS,
NOVAMINE 8.5%,AMINO ACIDS,
NOVAMINE 11.4%,AMINO ACIDS,
NOVAMINE 15%,AMINO ACIDS,
AMINOSYN-RF 5.2%,AMINO ACIDS,
HEPATAMINE 8%,AMINO ACIDS,
BRANCHAMIN 4%,AMINO ACIDS,
BRANCHAMIN 4% IN PLASTIC CONTAINER,AMINO ACIDS,
NEOPHAM 6.4%,AMINO ACIDS,
AMINOSYN 3.5% IN PLASTIC CONTAINER,AMINO ACIDS,
AMINESS 5.2% ESSENTIAL AMINO ACIDS W/ HISTADINE,AMINO ACIDS,
TRAVASOL 5.5% IN PLASTIC CONTAINER,AMINO ACIDS,
TRAVASOL 8.5% IN PLASTIC CONTAINER,AMINO ACIDS,
TRAVASOL 10% IN PLASTIC CONTAINER,AMINO ACIDS,
TROPHAMINE,AMINO ACIDS,
TROPHAMINE 10%,AMINO ACIDS,
AMINOSYN-HBC 7%,AMINO ACIDS,
AMINOSYN-PF 7%,AMINO ACIDS,
AMINOSYN-HBC 7% IN PLASTIC CONTAINER,AMINO ACIDS,
AMINOSYN II 3.5%,AMINO ACIDS,
AMINOSYN II 5%,AMINO ACIDS,
AMINOSYN II 7%,AMINO ACIDS,
AMINOSYN II 8.5%,AMINO ACIDS,
AMINOSYN II 10%,AMINO ACIDS,
AMINOSYN II 3.5% IN PLASTIC CONTAINER,AMINO ACIDS,
AMINOSYN-PF 10%,AMINO ACIDS,
AMINOSYN II 10% IN PLASTIC CONTAINER,AMINO ACIDS,
AMINOSYN II 15% IN PLASTIC CONTAINER,AMINO ACIDS,
NOVAMINE 15% SULFITE FREE IN PLASTIC CONTAINER,AMINO ACIDS,
AMINOSYN-HF 8%,AMINO ACIDS,
HEPATASOL 8%,AMINO ACIDS,
CLINISOL 15% SULFITE FREE IN PLASTIC CONTAINER,AMINO ACIDS,
PROSOL 20% SULFITE FREE IN PLASTIC CONTAINER,AMINO ACIDS,
PREMASOL 6% IN PLASTIC CONTAINER,AMINO ACIDS,
